Mint
5419
1360
0042
2226
0041
0001
1302
3444
3360
1344
5460
0078
977
5401
5292
1314
0555
0055
0005
2222
5335
2143
3319
2733
5418
2436
0146
6425
6355
6288
1345
0043
3746
6304
0260
1685
2024
2192
1349
5286
0420
5286
2310
